Year,Month,Value
1854,1,0.11
1854,2,-0.24
1854,3,-0.4
1854,4,-0.44
1854,5,-0.54
1854,6,-0.3
1854,7,-0.1
1854,8,-1.24
1854,9,-1
1854,10,-2.23
1854,11,-1.68
1854,12,-1.76
1855,1,-0.2
1855,2,-0.39
1855,3,-0.24
1855,4,-0.58
1855,5,-1.34
1855,6,-1.88
1855,7,-1.13
1855,8,-0.48
1855,9,-0.76
1855,10,-0.63
1855,11,-0.41
1855,12,-0.88
1856,1,-0.39
1856,2,0.47
1856,3,0.42
1856,4,-0.96
1856,5,-1.26
1856,6,-2.15
1856,7,-0.69
1856,8,0.63
1856,9,0.58
1856,10,0.59
1856,11,0.23
1856,12,0.04
1857,1,-0.52
1857,2,-1.67
1857,3,-1.05
1857,4,-0.81
1857,5,-0.65
1857,6,1.03
1857,7,1.17
1857,8,0.81
1857,9,0.84
1857,10,0.7
1857,11,0.38
1857,12,-0.55
1858,1,-0.96
1858,2,-1.53
1858,3,-1.76
1858,4,-0.82
1858,5,0.49
1858,6,2.19
1858,7,1.05
1858,8,0.67
1858,9,1.38
1858,10,2.35
1858,11,0.46
1858,12,-1.16
1859,1,-1.22
1859,2,-1.71
1859,3,-2.46
1859,4,-3.65
1859,5,-2.86
1859,6,-1.99
1859,7,-1.01
1859,8,-1.26
1859,9,-1.19
1859,10,-1.31
1859,11,-1.14
1859,12,-1.12
1860,1,-1.31
1860,2,-1.28
1860,3,-1.34
1860,4,-0.77
1860,5,-0.85
1860,6,-1.26
1860,7,-0.27
1860,8,-0.4
1860,9,0.33
1860,10,-1.7
1860,11,-1.18
1860,12,-1.42
1861,1,-0.57
1861,2,-0.84
1861,3,-0.86
1861,4,-0.83
1861,5,-0.37
1861,6,-0.35
1861,7,-0.61
1861,8,-0.8
1861,9,-1.2
1861,10,-1.58
1861,11,-1.8
1861,12,-1.65
1862,1,-0.41
1862,2,-0.13
1862,3,0.16
1862,4,0.07
1862,5,0.09
1862,6,-0.08
1862,7,-0.12
1862,8,-0.2
1862,9,-0.98
1862,10,-0.8
1862,11,-0.39
1862,12,0.07
1863,1,-0.06
1863,2,-0.34
1863,3,-0.37
1863,4,-0.18
1863,5,0.03
1863,6,-0.03
1863,7,0.07
1863,8,-0.26
1863,9,0.05
1863,10,0.07
1863,11,0.11
1863,12,-0.23
1864,1,-0.19
1864,2,-0.09
1864,3,-1.04
1864,4,-1
1864,5,-0.78
1864,6,-0.66
1864,7,-0.19
1864,8,-0.48
1864,9,-0.21
1864,10,0.23
1864,11,0.53
1864,12,0.5
1865,1,-0.28
1865,2,-0.54
